std,n_points,dimension,standard_basis,standard_no_basis,clearing,compression,update
0.001,100,2,0.4345785565674305,0.20806893333792686,0.20624159835278988,0.2003949787467718,0.2218418326228857
0.001,100,2,0.385423019528389,0.2080835197120905,0.20720946788787842,0.2031312994658947,0.20114812068641186
0.001,100,2,0.388335894793272,0.20832111686468124,0.20648113824427128,0.20263206772506237,0.19995365664362907
0.001,100,2,0.38968910463154316,0.2070946116000414,0.20784052833914757,0.20090900920331478,0.20151054486632347
0.001,100,2,0.38672152161598206,0.20805935189127922,0.20577291958034039,0.20205065608024597,0.20312847755849361
0.001,100,2,0.38500222750008106,0.20778186805546284,0.20739854127168655,0.20402959175407887,0.20148411020636559
0.001,100,2,0.3849653396755457,0.20789476111531258,0.2065444253385067,0.20406538993120193,0.2016356810927391
0.001,100,2,0.3863431364297867,0.2100028097629547,0.20299353450536728,0.20016299188137054,0.2015565987676382
0.001,100,2,0.3838662076741457,0.20803896337747574,0.20605174638330936,0.20108820870518684,0.2017243504524231
0.001,100,2,0.3866379652172327,0.2101807575672865,0.207013675943017,0.20404992066323757,0.20046902634203434
0.001,100,2,0.38331263326108456,0.20526813343167305,0.2066518124192953,0.2041629385203123,0.20095108821988106
0.001,100,2,0.3847635593265295,0.2078113630414009,0.20822685584425926,0.2039118018001318,0.20180676132440567
0.001,100,2,0.38471586629748344,0.20923413150012493,0.20560956746339798,0.20190550945699215,0.20279909297823906
0.001,100,2,0.38652388751506805,0.2073029037564993,0.20594188384711742,0.20228540897369385,0.2013428695499897
0.001,100,2,0.38589876517653465,0.2078962568193674,0.20520194992423058,0.20009521953761578,0.20156238041818142
0.001,100,2,0.38706014305353165,0.20838735438883305,0.20774482376873493,0.20348260179162025,0.20137853361666203
0.001,100,2,0.38719979487359524,0.20813856460154057,0.20609723404049873,0.2039988860487938,0.20094186067581177
0.001,100,2,0.3870523236691952,0.2095695286989212,0.20729563385248184,0.20393208786845207,0.20100349001586437
0.001,100,2,0.3824534844607115,0.20776178501546383,0.20740356855094433,0.20281940139830112,0.2013563271611929
0.001,100,2,0.38609215803444386,0.20838469080626965,0.20615015923976898,0.20272131264209747,0.20068601705133915
0.001,100,3,13.408460279926658,6.435693856328726,6.256041606888175,5.175327828153968,4.515340052545071
0.001,100,3,11.925035456195474,6.425595125183463,6.160722602158785,5.177846508100629,4.4033994525671005
0.001,100,3,11.835907446220517,6.462019097059965,6.2474748361855745,5.096161408349872,4.42347476631403
0.001,100,3,11.989249177277088,6.495717443525791,6.200291136279702,5.11118140257895,4.390241093933582
0.001,100,3,11.873908201232553,6.397726392373443,6.231086626648903,5.041088370606303,4.426784228533506
0.001,100,3,11.8997319098562,6.53227667324245,6.279239140450954,5.19352606497705,4.420556109398603
0.001,100,3,11.846187906339765,6.436220349743962,6.232195192947984,5.088138690218329,4.435039855539799
0.001,100,3,11.902437148615718,6.522060027346015,6.24839243106544,5.19906597957015,4.368733827024698
0.001,100,3,11.762302504852414,6.481286607682705,6.225494196638465,5.158110851421952,4.343538329005241
0.001,100,3,11.740774253383279,6.504262123256922,6.24411229044199,5.186774143949151,4.422524407505989
0.001,100,3,11.858092024922371,6.502570962533355,6.259037075564265,5.185485508292913,4.42331544496119
0.001,100,3,11.846023377031088,6.443454213440418,6.261748248711228,5.189843965694308,4.422567959874868
0.001,100,3,11.905520102009177,6.535528345033526,6.217395801097155,5.20169435814023,4.423738369718194
0.001,100,3,11.890303999185562,6.514312071725726,6.245612099766731,5.1769866570830345,4.41382472589612
0.001,100,3,11.755878359079361,6.51272620819509,6.251330429688096,5.1781952772289515,4.432541461661458
0.001,100,3,11.903196102008224,6.464084517210722,6.232966775074601,5.1994444243609905,4.386085458099842
0.001,100,3,11.81679660640657,6.504010489210486,6.247577594593167,5.186725912615657,4.39816103130579
0.001,100,3,11.892272595316172,6.519080275669694,6.264972200617194,5.202323008328676,4.345107624307275
0.001,100,3,11.9255450386554,6.531862661242485,6.268309716135263,5.18741799145937,4.371060809120536
0.001,100,3,11.80544894747436,6.394615216180682,6.265290593728423,5.1853160336613655,4.398728376254439
0.005,100,2,0.5564741473644972,0.25553684309124947,0.2534868158400059,0.22595379129052162,0.22147351875901222
0.005,100,2,0.4959638174623251,0.256631251424551,0.2524844128638506,0.2281008791178465,0.2229305747896433
0.005,100,2,0.49556611478328705,0.2561481222510338,0.25410849787294865,0.22766726464033127,0.2215206902474165
0.005,100,2,0.49703008495271206,0.2553194481879473,0.25402249582111835,0.2266926784068346,0.22444922663271427
0.005,100,2,0.4994080327451229,0.25580139830708504,0.2528045792132616,0.22614122740924358,0.22125310823321342
0.005,100,2,0.5004785545170307,0.2566949278116226,0.25303177163004875,0.2276738602668047,0.2204829752445221
0.005,100,2,0.4936777539551258,0.25537229143083096,0.24930855631828308,0.22668981552124023,0.22105383686721325
0.005,100,2,0.49454768374562263,0.25466562435030937,0.2538231182843447,0.226714251562953,0.2209586277604103
0.005,100,2,0.49871189147233963,0.25799924694001675,0.2565342839807272,0.22757116332650185,0.2211930025368929
0.005,100,2,0.49868746660649776,0.25556926243007183,0.25464738346636295,0.22622538544237614,0.22054126299917698
0.005,100,2,0.49924471601843834,0.25492742843925953,0.25386945344507694,0.2284609917551279,0.22078395448625088
0.005,100,2,0.4964374378323555,0.25340717658400536,0.25346795096993446,0.2267238311469555,0.23036626167595387
0.005,100,2,0.5000198278576136,0.25066113099455833,0.253247844055295,0.22678476199507713,0.22146510519087315
0.005,100,2,0.49849941581487656,0.2553933672606945,0.25351131707429886,0.2267581056803465,0.221456965431571
0.005,100,2,0.4968567453324795,0.25402779318392277,0.2531301621347666,0.22826567105948925,0.22621731273829937
0.005,100,2,0.4970441721379757,0.2554351259022951,0.25308499298989773,0.2281209584325552,0.2204340435564518
0.005,100,2,0.49718177877366543,0.2547420784831047,0.25367441587150097,0.22787820734083652,0.22333457693457603
0.005,100,2,0.5001020915806293,0.25597277469933033,0.2541414853185415,0.22532636299729347,0.22634887509047985
0.005,100,2,0.5001342929899693,0.2542484663426876,0.26179041899740696,0.2276284173130989,0.22022712044417858
0.005,100,2,0.49861530028283596,0.25666455551981926,0.25370048359036446,0.2263280525803566,0.2331184707581997
0.005,100,3,13.339700996875763,6.836046112701297,6.419626124203205,5.446697171777487,12.958373993635178
0.005,100,3,11.974610440433025,6.853721363469958,6.440597482025623,5.336902664974332,12.974735455587506
0.005,100,3,11.76652055233717,6.679224114865065,6.495864352211356,5.329061700031161,12.876199420541525
0.005,100,3,12.015537671744823,6.8024396654218435,6.428028807044029,5.34070024266839,12.828004192560911
0.005,100,3,11.962566481903195,6.701455960050225,6.603237651288509,5.316803043708205,12.922411933541298
0.005,100,3,12.025540379807353,6.883124919608235,6.476080652326345,5.4970085471868515,12.891608098521829
0.005,100,3,12.158565666526556,6.8864985927939415,6.600246423855424,5.476997796446085,12.859192408621311
