standard_basis,standard_no_basis,clearing,compression,update,topologylayer,gudhi,dionysus,ripser
2.6220888160169125,1.6385981291532516,1.5680664591491222,1.6968378890305758,1.8478392828255892,0,0.7149885911494493,0,0.020251061767339706
2.76896408572793,1.595770014449954,1.6317550782114267,1.7405630927532911,1.8693894930183887,0,0.5691603180021048,0,0.019340092316269875
2.4343792758882046,1.5116548966616392,1.5088198278099298,1.5991371683776379,1.926688116043806,0,0.5992526058107615,0,0.019254116341471672
2.5742697939276695,1.6521857641637325,1.6390504390001297,1.7080906834453344,1.8247451204806566,0,0.6697294842451811,0,0.019456051290035248
2.810679955407977,1.717641657218337,1.7043378688395023,1.773904923349619,1.9287522453814745,0,0.5846859626471996,0,0.0193022433668375
2.7517500147223473,1.7117947284132242,1.7058407422155142,1.810566185042262,1.823778448626399,0,0.6594234835356474,0,0.021326841786503792
2.2710818387567997,1.4308645371347666,1.4193702191114426,1.4545483775436878,1.7420334741473198,0,0.5258031897246838,0,0.018896784633398056
2.5409963484853506,1.6103329733014107,1.6172926761209965,1.6713341362774372,1.8798393327742815,0,0.54102448746562,0,0.018686281517148018
2.3052299302071333,1.4567812755703926,1.461260261014104,1.5355766601860523,1.7780456393957138,0,0.5361992791295052,0,0.018406972289085388
2.605751495808363,1.597709309309721,1.6057098638266325,1.7076124288141727,1.8717700839042664,0,0.6413448583334684,0,0.021993273869156837
3.0356513522565365,1.8472830262035131,1.8590038437396288,1.9595840219408274,1.8098486717790365,0,0.6675106026232243,0,0.020080063492059708
2.49750267341733,1.4991013072431087,1.463777557015419,1.5528206434100866,2.0683309324085712,0,0.5757505781948566,0,0.01797785609960556
2.514400228857994,1.6100306883454323,1.5738975442945957,1.62572898901999,1.8956499714404345,0,0.564484367147088,0,0.019358407706022263
2.165560891851783,1.3637517355382442,1.366890862584114,1.4493450801819563,1.7546602971851826,0,0.5767295937985182,0,0.019547369331121445
3.0799339693039656,1.8813805282115936,1.8430798575282097,1.886006634682417,2.097991544753313,0,0.6544439345598221,0,0.01992660015821457
2.213079048320651,1.3518678843975067,1.345315381884575,1.4158949386328459,1.85862966068089,0,0.5883875675499439,0,0.019273439422249794
2.383631680160761,1.501475427299738,1.448385177180171,1.5546759758144617,1.919703621417284,0,0.6020225454121828,0,0.020384537056088448
2.2065981924533844,1.3918145187199116,1.3942228946834803,1.486246582120657,1.8304450884461403,0,0.576354518532753,0,0.020048316568136215
1.9598229844123125,1.2793175969272852,1.2615691721439362,1.3311519846320152,1.755025252699852,0,0.5633551105856895,0,0.01898040622472763
2.332264246419072,1.3999081086367369,1.3954773377627134,1.4637697897851467,1.8650163784623146,0,0.5859236884862185,0,0.020083768293261528
