std,initial_redue,rebuild,update
0.1,0.019078468500083545,0.018809036999300588,0.02138477900007274
0.2,0.014423421999708808,0.01479914849915076,0.017969329500374442
0.30000000000000004,0.015530896999734978,0.01585653900019679,0.01695801450023282
0.4,0.014368459500474273,0.0149390360002144,0.018389356000625412
0.5,0.017782566000278166,0.01919812049891334,0.025705418499455845
0.6,0.01776393550062494,0.01904256399939186,0.026671706998968148
0.7000000000000001,0.020861903499280743,0.021222885499810218,0.02478481200068927
0.8,0.01689346799867053,0.017141895999884582,0.02746520749951742
0.9,0.014895963500748621,0.015463004499906674,0.025996327500251937
1.0,0.014200306500242732,0.014660306499536091,0.020853136999903654
