std,initial_redue,rebuild,update
0.1,1.0525680134996946,0.7055860694999865,1.179520900501302
0.2,1.0474644740006624,0.37253125549977995,0.7545686105004279
0.3,1.0210081550012546,0.34314665750025597,0.7022513989995787
0.4,1.0278956790007214,0.3733545614977629,0.8709724235013709
0.5,1.1071980359993177,0.2525987110002461,0.7284681915007241
0.6,1.0477962029999617,0.16998594849974324,0.5705604914983269
0.7,1.1165865890015994,0.20315964549990895,0.5904565234995971
0.8,1.0057475409994368,0.12518203900071967,0.3932550919998903
0.9,0.9976580970014766,0.10189244800130837,0.405193076499927
1.0,1.0290834909992554,0.042475562999243266,0.26452674900065176
