dataset,standard_basis,standard_no_basis,clearing,compression,update,topologylayer,gudhi,dionysus,ripser
sphere-0.001-20-2,0.0011825429974123836,0.0006537180015584454,0.0006688889989163727,0.0012626940006157383,0.0006288480071816593,0.2988941630028421,0.000601017993176356,0.003898305003531277,0.0043696359934983775
sphere-0.001-30-2,0.004834157996810973,0.0024676119937794283,0.002261910995002836,0.002540811008657329,0.0023936720099300146,5.751005892991088,0.002276143990457058,0.008910310003557242,0.0035049250000156462
sphere-0.001-40-2,0.01153970300219953,0.005644673001370393,0.005407521995948628,0.005250995003734715,0.005844326005899347,0,0.0026701030001277104,0.018753030002699234,0.006227457997738384
sphere-0.001-20-3,0.004858221000176854,0.0032008840062189847,0.002368453991948627,0.002262656998937018,0.00327421999827493,0,0.001693746991804801,0.006605950999073684,0.00276125299569685
