std,n_points,dimension,standard_basis,standard_no_basis,clearing,compression,update
0.001,20,2,0.011528207003721036,0.0016519790078746155,0.0010838349990081042,0.0011540189880179241,0.0024744379916228354
0.001,20,2,0.0019177399954060093,0.0009190190030494705,0.0009999969915952533,0.001132861987571232,0.0008087390015134588
0.001,20,3,0.015618428005836904,0.0056601430114824325,0.003982592999818735,0.002844989998266101,0.046977467005490325
0.001,20,3,0.00455312299891375,0.0026239479921059683,0.002077729004668072,0.002178246999392286,0.0015336350043071434
0.001,30,2,0.0030363490077434108,0.0026087770092999563,0.0016037589957704768,0.0021475530083989725,0.012024169001961127
0.001,30,2,0.004369075002614409,0.002484807002474554,0.0022806130000390112,0.0023333709978032857,0.001922889001434669
0.001,30,3,0.15997352299746126,0.012480955003411509,0.009124554009758867,0.008446210995316505,0.09628230100497603
0.001,30,3,0.02206069100066088,0.010170530993491411,0.008762722005485557,0.008355091005796567,0.007442451998940669
0.001,50,2,0.0918275320000248,0.020527496002614498,0.014538717005052604,0.013424306001979858,0.17933832699782215
0.001,50,2,0.02906466399144847,0.013030463989707641,0.012828919003368355,0.01320044999010861,0.011568969988729805
