std,initial_redue,rebuild,update,factor,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
0.1,1.0255663610005286,0.5672344115000669,0.7017422170001737,0.8097039436031724,4220663.0,1940522.0,2362139.0,77903.0,56283.0,80999.0
0.2,1.1454763419997107,0.3825294065009075,0.5929393340011302,0.6438614039793245,4220663.0,1126506.0,1326646.0,77903.0,47806.0,72394.0
0.30000000000000004,1.0511849120002807,0.2696288639999693,0.588264807500309,0.45750730012980906,4220663.0,1031647.0,1377173.0,77903.0,41344.0,64046.0
0.4,1.079636584000582,0.1755159354997886,0.46520171249994746,0.3803452387484969,4220663.0,540414.0,867168.0,77903.0,36313.0,62277.0
0.5,1.0541985150002802,0.18610595600057422,0.4768227394997666,0.391372902348266,4220663.0,513340.0,734005.0,77903.0,32909.0,58636.0
0.6,1.1057430715009104,0.1077228144995388,0.3907269854998958,0.27614344533171503,4220663.0,295432.0,387673.0,77903.0,21604.0,29488.0
0.7000000000000001,1.0351609819999794,0.22482596300051227,0.5944180035012323,0.3790574736681231,4220663.0,765409.0,1082350.0,77903.0,31758.0,51956.0
0.8,1.097570248000011,0.12713917349992698,0.4691461244992752,0.2710268140806934,4220663.0,297257.0,399248.0,77903.0,23093.0,29217.0
0.9,1.0782308674997694,0.11370594700019865,0.4829985675005446,0.2355517065706207,4220663.0,292232.0,482358.0,77903.0,22209.0,37064.0
1.0,1.1205443399994692,0.07939880100002483,0.3759540935006953,0.2113552965419806,4220663.0,199104.0,242339.0,77903.0,16524.0,23011.0
