rebuild,update,nnz_reb,nnz_upd
0.4497337749999133,0.08483989600063069,1522762.0,1524009.0
0.3821772890005377,0.0641346939955838,1507233.0,1508551.0
0.3204348959989147,0.08247268799459562,1497773.0,1490913.0
0.3242130009966786,0.11965860299824271,1489249.0,1481864.0
0.30296182700112695,0.09961920900241239,1484633.0,1460938.0
0.2651717100015958,0.06431098699977156,1448318.0,1443886.0
0.26249951100180624,0.06924949799577007,1595911.0,1427645.0
0.250568439005292,0.07307200899958843,1441015.0,1406362.0
0.2513851369949407,0.07276730900048278,1457143.0,1391559.0
0.22822019400337012,0.06698058400070295,1423351.0,1387362.0
0.28068852399883326,0.0672141519971774,1458411.0,1386805.0
0.2980777289994876,0.09309785400546389,1443422.0,1384453.0
0.30255782500171335,0.09493745600047987,1488028.0,1381924.0
0.22293919100047788,0.06473280899808742,1428815.0,1377350.0
0.23056006799743045,0.08042813299834961,1483658.0,1378034.0
0.2258255199994892,0.06594358700385783,1484644.0,1372254.0
0.21968970200396143,0.06338286599930143,1432194.0,1370203.0
0.2272385909964214,0.06408477399963886,1421566.0,1368928.0
0.2097683629981475,0.07959804999700282,1421301.0,1368253.0
0.20069655100087402,0.06768325399752939,1440061.0,1366644.0
0.23068479499488603,0.07695999799761921,1493852.0,1365213.0
0.20200864799699048,0.07908105800015619,1423715.0,1364393.0
0.18768947100033984,0.08724921699467814,1359442.0,1382128.0
0.2216991679961211,0.13575060799485072,1509977.0,1411965.0
0.2013325209991308,0.12576659699698212,1393181.0,1412641.0
0.23139875999913784,0.13382492699747672,1523473.0,1434021.0
0.23900313500053016,0.10325577100593364,1513540.0,1461030.0
0.22819068799435627,0.09368098599952646,1516027.0,1459523.0
0.23586373899888713,0.10093498300557258,1529841.0,1499687.0
0.2678463590054889,0.12398726199899102,1603122.0,1530066.0
0.24664593999477802,0.09241774799738778,1553926.0,1529961.0
0.24172494700178504,0.1065540380004677,1565936.0,1551450.0
0.24761043200123822,0.0786282740009483,1595456.0,1548693.0
0.31164024300232995,0.11032754500047304,1595102.0,1579167.0
0.24571841699798824,0.14326636599435005,1470843.0,1572843.0
0.29229914500319865,0.1104215480008861,1579592.0,1594849.0
0.2493838720038184,0.08323981700232252,1505618.0,1587206.0
0.2521047889968031,0.10973859499790706,1615968.0,1617472.0
0.2847967659981805,0.09161385599873029,1649129.0,1610480.0
0.2492033519956749,0.10407794899947476,1488739.0,1606477.0
0.2645595889989636,0.10416745400289074,1588896.0,1607527.0
0.25232424700516276,0.10520233699935488,1528212.0,1600605.0
0.25492160899739247,0.12115473499579821,1588304.0,1630399.0
