std,initial_redue,rebuild,update
0.1,0.03728936849802267,0.046170136502041714,1.2376049655013048
0.2,0.037092054499225924,0.015785876001245924,0.12437390699960815
0.30000000000000004,0.03535383999951591,0.0078093739994073985,0.02169956899888348
0.4,0.034478909998142626,0.018190101498475997,0.39917715600131487
0.5,0.0371599204991071,0.02267285950074438,0.3422270449991629
0.6,0.03328905749913247,0.039080922499124426,1.5842332009979145
0.7000000000000001,0.03333703899807006,0.015898978999757674,0.3015932790003717
0.8,0.032409655999799725,0.021418280000943923,0.45249852900087717
0.9,0.0316451769995183,0.04574091450012929,3.0985289280015422
1.0,0.03441503999965789,0.031073636999281007,1.2217409190016042
