std_basis,std_no_basis,std_clearing,std_compression,update,nnz_basis,nnz_no_basis,nnz_clear,nnz_compress,nnz_upd
0.2872443519991066,0.19927689299947815,0.14749607900012052,0.1145475310004258,0.07865321800272795,10628.0,10628.0,10628.0,9769.0,1744167.0
0.3018706149996433,0.1792056979975314,0.15135230099986074,0.1270645609984058,0.09147458100051153,10637.0,10637.0,10637.0,9784.0,1743025.0
0.25370642299822066,0.16478372200072045,0.16214034400036326,0.12757777299702866,0.09494586900109425,10652.0,10652.0,10652.0,9797.0,1749559.0
0.2704268389970821,0.15164291600012803,0.14843700700293994,0.12311875199884526,0.09823368700017454,10674.0,10674.0,10674.0,9775.0,1750798.0
0.267452771000535,0.16571565100093721,0.16033464099746197,0.12919840900212876,0.10384117400099058,10693.0,10693.0,10693.0,9812.0,1760404.0
0.2945132439999725,0.21221837700068136,0.16926553200028138,0.1389153019990772,0.10757110099802958,10707.0,10707.0,10707.0,9817.0,1768073.0
0.30533048500001314,0.18633882799986168,0.1851252230007958,0.14438890900055412,0.10578635500132805,10716.0,10716.0,10716.0,9844.0,1774329.0
0.3471441360015888,0.21314431900100317,0.18956791600066936,0.15248192199942423,0.11223064500154578,10720.0,10720.0,10720.0,9833.0,1776443.0
0.3121174389998487,0.18626693400074146,0.17654668300019694,0.14325305999955162,0.11382874399714638,10709.0,10709.0,10709.0,9820.0,1766569.0
0.32697280700085685,0.19438403899766854,0.1823977920030302,0.14631174500027555,0.11364520800270839,10718.0,10718.0,10718.0,9843.0,1773778.0
0.31967675299893017,0.18816317100208835,0.18294199199954164,0.15045886400184827,0.0972137520002434,10699.0,10699.0,10699.0,9822.0,1761946.0
0.32588795499759726,0.19667793899861863,0.18518218100143713,0.1487107049979386,0.11143023799741059,10705.0,10705.0,10705.0,9837.0,1773697.0
0.32246550700074295,0.19089027699737926,0.18189389300096082,0.14657219999935478,0.11108417799914605,10727.0,10727.0,10727.0,9879.0,1785748.0
0.32443158800015226,0.19705710600101156,0.19349505699938163,0.15532656400318956,0.11254301599910832,10716.0,10716.0,10716.0,9875.0,1773204.0
0.3279697389989451,0.18911810300051002,0.19591604499873938,0.15154306400290807,0.11332251199928578,10713.0,10713.0,10713.0,9878.0,1775287.0
0.30656119900231715,0.18301281000094605,0.17795646399827092,0.14548701500098105,0.10979623999810428,10708.0,10708.0,10708.0,9900.0,1762806.0
0.3385710359980294,0.19086018699817942,0.1766094280028483,0.15105436500016367,0.11372675999882631,10717.0,10717.0,10717.0,9863.0,1775216.0
0.33490787299888325,0.18431625900120707,0.17348535299970536,0.14487640800143708,0.10507465100090485,10707.0,10707.0,10707.0,9881.0,1767745.0
0.3096159250017081,0.18236589200023445,0.17682956899807323,0.14912568100044155,0.11830250300045009,10700.0,10700.0,10700.0,9850.0,1763097.0
0.29926746300043305,0.1814967969985446,0.17425855200053775,0.14453085499917506,0.11182684599771164,10695.0,10695.0,10695.0,9870.0,1765455.0
0.3134444080023968,0.18165180799769587,0.16902203499921598,0.14176843899986125,0.11567784200087772,10709.0,10709.0,10709.0,9876.0,1767395.0
0.30646043500019005,0.17895561099794577,0.17612420300065423,0.14049995899767964,0.11278866900102003,10704.0,10704.0,10704.0,9865.0,1770751.0
0.28716307299691834,0.18418519100305275,0.1751562279969221,0.14382247499816003,0.1116626279981574,10703.0,10703.0,10703.0,9869.0,1767813.0
0.2996976770009496,0.17812811600015266,0.17106342599799973,0.14023901200198452,0.1108685350009182,10716.0,10716.0,10716.0,9888.0,1772246.0
0.2912996970007953,0.17293615399830742,0.173561958999926,0.14110221000009915,0.0891360799978429,10703.0,10703.0,10703.0,9858.0,1768179.0
0.2958257979989867,0.17653986000004807,0.17719500500243157,0.14249697200284572,0.11116095300167217,10708.0,10708.0,10708.0,9869.0,1764580.0
0.2994776870000351,0.1800579979972099,0.18026884799837717,0.14425479100100347,0.11826427900086856,10714.0,10714.0,10714.0,9871.0,1773124.0
0.29253354699903866,0.17373559900079272,0.17451466500278912,0.13957597599801375,0.1115080029994715,10714.0,10714.0,10714.0,9895.0,1771738.0
0.2925384829977702,0.17665882899746066,0.17294428999957745,0.14166455000304268,0.11411129100088147,10723.0,10723.0,10723.0,9860.0,1772344.0
0.2993789760002983,0.17812942499949713,0.16704996800035588,0.14419936400008737,0.11034375199960778,10708.0,10708.0,10708.0,9855.0,1763418.0
0.32117528899834724,0.18344533200070146,0.1693608050009061,0.1411797660002776,0.09733223099829047,10672.0,10672.0,10672.0,9818.0,1736786.0
0.2894950459995016,0.1745774609989894,0.17264528200030327,0.15214451700012432,0.09561479900003178,10666.0,10666.0,10666.0,9831.0,1731478.0
0.28795970200008014,0.17493683000066085,0.17385070000091218,0.14206828699752805,0.10387853000065661,10662.0,10662.0,10662.0,9856.0,1727204.0
0.2938071030002902,0.17108466900026542,0.17263042499689618,0.13659872399875894,0.10993019599845866,10676.0,10676.0,10676.0,9846.0,1740032.0
0.2761453010025434,0.17738412800099468,0.17018831799941836,0.1401177590014413,0.09513413999957265,10628.0,10628.0,10628.0,9797.0,1703050.0
0.2769863419998728,0.17066448699915782,0.170547710997198,0.1415401420017588,0.10997895699983928,10630.0,10630.0,10630.0,9779.0,1690197.0
0.2779715889992076,0.1743730649977806,0.16718824400231824,0.13925114499943447,0.09281732899762574,10568.0,10568.0,10568.0,9724.0,1664848.0
0.2779332649988646,0.17369491100180312,0.16296714100099052,0.1381749209976988,0.10980316099812626,10568.0,10568.0,10568.0,9732.0,1667939.0
