std,n_points,dimension,setup1,construct1,reduce1,setup2,construct2,reduce2,update,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
0.001,100,2,0.0002661552280187607,0.03402711637318134,0.4292955696582794,0.00016511604189872742,0.03330197185277939,0.4274507872760296,0.18560201302170753,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00022920407354831696,0.03243743069469929,0.38588898815214634,0.00017580389976501465,0.03249925747513771,0.39030140824615955,0.16665564477443695,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00022739917039871216,0.03325646370649338,0.38008222728967667,0.0001793988049030304,0.03362318314611912,0.38738896138966084,0.17450588382780552,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.000226510688662529,0.03336077556014061,0.3825493473559618,0.00017608888447284698,0.03397466614842415,0.39252968318760395,0.18011287786066532,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.0002388935536146164,0.03538863733410835,0.3792171161621809,0.00017875060439109802,0.03270239010453224,0.390749778598547,0.17302139103412628,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00022547505795955658,0.03477557748556137,0.38024967908859253,0.0001751873642206192,0.03601732477545738,0.3947365414351225,0.1740852277725935,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00022785551846027374,0.033488279208540916,0.38348089158535004,0.00017803534865379333,0.03363395482301712,0.38973609544336796,0.1741769928485155,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.0002280157059431076,0.034148531034588814,0.38231479190289974,0.00017165765166282654,0.03426009602844715,0.3930578790605068,0.17777476459741592,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00022398307919502258,0.036470821127295494,0.3785581048578024,0.00017475523054599762,0.03576890379190445,0.3901191409677267,0.17495794594287872,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.0002254936844110489,0.033489152789115906,0.38297252357006073,0.000177774578332901,0.03361504524946213,0.3904301133006811,0.17253627441823483,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00023146532475948334,0.03278287500143051,0.37799558229744434,0.00017138198018074036,0.033398985862731934,0.38826590590178967,0.170792231336236,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00022610463201999664,0.03385445661842823,0.38282534666359425,0.0001723412424325943,0.03282138891518116,0.38279068656265736,0.17207118310034275,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.0002377387136220932,0.03396612964570522,0.3836209252476692,0.0001742299646139145,0.03352969512343407,0.3919674213975668,0.1767947468906641,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00022756680846214294,0.0332884956151247,0.38440079987049103,0.00017936155200004578,0.032695453613996506,0.39201557263731956,0.17863300256431103,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00023613497614860535,0.033542366698384285,0.3802547808736563,0.00017541088163852692,0.03450074419379234,0.38911683298647404,0.17603698931634426,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.000240446999669075,0.03352510742843151,0.38387623988091946,0.0001820288598537445,0.0360706951469183,0.39224166609346867,0.17595486901700497,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00022700056433677673,0.03400774672627449,0.3838418032974005,0.00017877109348773956,0.033012114465236664,0.38601723685860634,0.16587017849087715,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00023062899708747864,0.03205440007150173,0.38409571908414364,0.00017506442964076996,0.033010635524988174,0.3976512998342514,0.17351516336202621,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00023297220468521118,0.03519100323319435,0.38413927517831326,0.00017620064318180084,0.03291367553174496,0.3986831121146679,0.17484505660831928,2432248,2442058,2440824,14238,14251,14294
0.001,100,2,0.00023025274276733398,0.033934662118554115,0.38382081128656864,0.00016979128122329712,0.03269565291702747,0.3939609080553055,0.16776064224541187,2432248,2442058,2440824,14238,14251,14294
0.0014384498882876629,100,2,0.00014990940690040588,0.032196616753935814,0.3622047882527113,0.0001705717295408249,0.03282608836889267,0.3452644255012274,0.14928005449473858,2442712,2337972,2413917,14103,14055,14114
0.0014384498882876629,100,2,0.0002230331301689148,0.03109598718583584,0.35193509981036186,0.0001739952713251114,0.03042462468147278,0.3368482943624258,0.15394477173686028,2442712,2337972,2413917,14103,14055,14114
0.0014384498882876629,100,2,0.00021919608116149902,0.030733443796634674,0.3635595627129078,0.0001768004149198532,0.03188120946288109,0.33508742041885853,0.153516398742795,2442712,2337972,2413917,14103,14055,14114
0.0014384498882876629,100,2,0.0002208799123764038,0.030997084453701973,0.35499747283756733,0.0001687072217464447,0.030739756301045418,0.3390702586621046,0.1600883286446333,2442712,2337972,2413917,14103,14055,14114
0.0014384498882876629,100,2,0.00023142807185649872,0.032473012804985046,0.3739371486008167,0.00018611550331115723,0.04251375049352646,0.3655901849269867,0.18243889696896076,2442712,2337972,2413917,14103,14055,14114
0.0014384498882876629,100,2,0.0002495963126420975,0.03868619166314602,0.37890082970261574,0.00018320977687835693,0.04223743639886379,0.3708141352981329,0.1821199730038643,2442712,2337972,2413917,14103,14055,14114
0.0014384498882876629,100,2,0.00024073012173175812,0.039347073063254356,0.38231595419347286,0.00018571875989437103,0.04187867045402527,0.37053242325782776,0.18320273235440254,2442712,2337972,2413917,14103,14055,14114
0.0014384498882876629,100,2,0.00024701468646526337,0.040037618950009346,0.3880324047058821,0.00018572434782981873,0.04260879196226597,0.36975071392953396,0.18350661918520927,2442712,2337972,2413917,14103,14055,14114
