std,n_points,dimension,setup1,construct1,reduce1,setup2,construct2,reduce2,update,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
0.005,100,2,0.000181516632437706,0.03195296786725521,0.3810597378760576,0.00018185190856456757,0.020895741879940033,0.20195628516376019,0.3000616617500782,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.0002147369086742401,0.030214976519346237,0.33343484438955784,0.00015676766633987427,0.019511224702000618,0.1786512304097414,0.29372149147093296,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00020964071154594421,0.029771585017442703,0.33545367419719696,0.00016058236360549927,0.019588736817240715,0.18214691616594791,0.29441254027187824,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021822191774845123,0.02970186434686184,0.333458311855793,0.00015062466263771057,0.01961965672671795,0.17779428884387016,0.29481710493564606,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.0002139713615179062,0.029678527265787125,0.3341219201683998,0.0001517515629529953,0.019467229023575783,0.17766954749822617,0.2925439905375242,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021092593669891357,0.0300372876226902,0.3327741455286741,0.00015088729560375214,0.01909826509654522,0.17566917836666107,0.29243232123553753,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021431408822536469,0.030198898166418076,0.333221647888422,0.0001488029956817627,0.01916957087814808,0.18142653070390224,0.29233101196587086,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021795183420181274,0.029477961361408234,0.334131820127368,0.00014916807413101196,0.01959593966603279,0.17844685353338718,0.2932960633188486,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021188147366046906,0.030091535300016403,0.3330016676336527,0.00015095435082912445,0.019174592569470406,0.17764526791870594,0.2927823942154646,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021070614457130432,0.029516395181417465,0.3338103909045458,0.00015510804951190948,0.019031669944524765,0.17785327322781086,0.2951585166156292,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021229125559329987,0.029965799301862717,0.33391657285392284,0.0001499410718679428,0.019336065277457237,0.176693232730031,0.29200527630746365,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021289102733135223,0.03038240410387516,0.3327876478433609,0.0001496933400630951,0.019475746899843216,0.17751891538500786,0.2915746048092842,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.0002145078033208847,0.030285470187664032,0.3336252886801958,0.00014893151819705963,0.019475847482681274,0.17811965569853783,0.2949389759451151,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021695345640182495,0.02992437407374382,0.33249715343117714,0.00015173107385635376,0.019472938030958176,0.1773048359900713,0.29154376313090324,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021367520093917847,0.030118703842163086,0.33211265690624714,0.00014925934374332428,0.019092869013547897,0.17851927317678928,0.29410661943256855,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021247752010822296,0.02973504364490509,0.3325973339378834,0.00014888867735862732,0.019297268241643906,0.17533636838197708,0.2920128758996725,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.0002140682190656662,0.02991434559226036,0.3345250841230154,0.00015048496425151825,0.019595762714743614,0.17809769697487354,0.29247067123651505,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021408498287200928,0.030363906174898148,0.3303967658430338,0.00014799460768699646,0.01923350617289543,0.17767289280891418,0.2921808883547783,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021412037312984467,0.0299287848174572,0.3342163022607565,0.00015358813107013702,0.019105209037661552,0.17811928316950798,0.2926931604743004,2477549,1438095,1445668,13879,12057,21532
0.005,100,2,0.00021030008792877197,0.03043326549232006,0.3353144880384207,0.00015186145901679993,0.01911260187625885,0.17718430794775486,0.29174454510211945,2477549,1438095,1445668,13879,12057,21532
0.005,100,3,0.00013730302453041077,0.9582996536046267,25.929170483723283,0.0001705363392829895,0.5401131995022297,7.484892174601555,21.295508321374655,82999518,30485387,54435336,582066,353571,678444
0.005,100,3,0.0002305973321199417,0.9502106737345457,23.43974439613521,0.00016989558935165405,0.5350545421242714,6.852790294215083,21.311620492488146,82999518,30485387,54435336,582066,353571,678444
0.005,100,3,0.0002272147685289383,0.9636854566633701,23.355134276673198,0.00018060393631458282,0.5417777746915817,6.861549353227019,21.216777028515935,82999518,30485387,54435336,582066,353571,678444
0.005,100,3,0.0002293568104505539,0.9760184716433287,23.429554821923375,0.00017937086522579193,0.5436625797301531,6.858195377513766,21.225981019437313,82999518,30485387,54435336,582066,353571,678444
0.005,100,3,0.00022217072546482086,0.9816468395292759,23.45058394782245,0.00017525628209114075,0.5463652182370424,6.864640472456813,21.231511648744345,82999518,30485387,54435336,582066,353571,678444
0.005,100,3,0.00022784993052482605,0.9798952415585518,23.47070786729455,0.0001744236797094345,0.547902962192893,6.876129308715463,21.299009012058377,82999518,30485387,54435336,582066,353571,678444
0.005,100,3,0.00022245384752750397,0.9664262179285288,23.461682677268982,0.00017679855227470398,0.5483385436236858,6.859780140221119,21.247965781018138,82999518,30485387,54435336,582066,353571,678444
0.005,100,3,0.00023064576089382172,0.9768368657678366,23.46855542808771,0.000173935666680336,0.5428146831691265,6.86217662319541,21.224246636033058,82999518,30485387,54435336,582066,353571,678444
0.005,100,3,0.00024938955903053284,0.9641986954957247,23.44002214074135,0.00018274039030075073,0.54294877871871,6.874558037146926,21.273160621523857,82999518,30485387,54435336,582066,353571,678444
