standard_basis,standard_no_basis,clearing,compression,update,topologylayer,gudhi,dionysus,ripser
34.098878076300025,14.923756612464786,14.307776235044003,12.12829245813191,16.332278694957495,0,2.2124562952667475,0,0.07994585111737251
48.320474952459335,20.232795406132936,20.245964800938964,15.836669195443392,20.339637538418174,0,2.4896367136389017,0,0.07068149745464325
39.44997952878475,17.190594414249063,17.09828237630427,13.936232186853886,18.81442522443831,0,2.5903525296598673,0,0.07749801874160767
23.215541061013937,11.897595981135964,11.694488499313593,11.131875418126583,14.355566620826721,0,2.5963796358555555,0,0.07801569439470768
51.872290667146444,21.74220078624785,21.70594424009323,16.49662359803915,18.65387231297791,0,2.299394443631172,0,0.07323223352432251
50.8110989369452,21.40076588653028,21.601720597594976,16.587596824392676,15.91256776638329,0,2.7172986827790737,0,0.07879454270005226
66.31418830901384,26.98992612026632,26.63583267852664,20.959626289084554,19.292220344766974,0,2.615908496081829,0,0.0777647066861391
37.18700350262225,17.09083460457623,16.918783016502857,13.985996440052986,14.729703079909086,0,2.6375741865485907,0,0.07402639836072922
60.982272017747164,25.089328547939658,25.125972812995315,19.418717240914702,20.04377369582653,0,2.4313519094139338,0,0.07558620721101761
49.576694356277585,22.063390474766493,21.776558253914118,17.535948613658547,26.40866889245808,0,2.496592903509736,0,0.07377623952925205
37.897097039967775,16.677212670445442,16.752194683998823,13.772992992773652,15.039419677108526,0,2.598081860691309,0,0.0796717144548893
26.42768825776875,13.110812921077013,12.940680101513863,11.672425247728825,13.874268654733896,0,2.607429152354598,0,0.07813772559165955
36.046059699729085,16.951393270865083,17.14056694880128,14.359468149021268,18.700468564406037,0,2.423975855112076,0,0.0738619826734066
40.28006631322205,18.466852135956287,18.619320115074515,15.316559793427587,15.752778880298138,0,2.532560843974352,0,0.07621143572032452
33.34420160762966,15.07739713974297,14.887365348637104,12.312077039852738,18.77909568697214,0,2.520148456096649,0,0.07297406531870365
46.22866723127663,20.309717394411564,19.97680204361677,15.798787532374263,21.1193606890738,0,2.7292364556342363,0,0.07327092997729778
52.15467409603298,22.780254239216447,22.61117185652256,18.874282455071807,28.73562702909112,0,2.731223924085498,0,0.07394431531429291
58.90400332771242,23.971029680222273,24.611672665923834,18.691502010449767,20.93952720798552,0,2.50041158311069,0,0.07555582746863365
53.57962287962437,22.148884404450655,22.215923942625523,16.998162277042866,18.709258364513516,0,2.2096710447221994,0,0.0692045409232378
113.30587524734437,38.0050186868757,38.272687235847116,25.76007324270904,23.965808767825365,0,2.545959824696183,0,0.06970857642591
