n_points,dimension,std,standard_basis,standard_no_basis,clearing,compression,update,topologylayer,gudhi,dionysus,ripser
100,2,0.001,0.4665218126028776,0.2281096912920475,0.2298708464950323,0.22949606366455555,0.2235185243189335,0,0.05164740048348904,0.7384503874927759,0.012898672372102737
100,2,0.001,0.4934701155871153,0.2676981519907713,0.26229232735931873,0.25127103738486767,0.20948035083711147,0,0.05283161625266075,0.8324118219316006,0.015611181035637856
100,2,0.001,0.4705729652196169,0.25996545888483524,0.25545664317905903,0.24073548428714275,0.22228503786027431,0,0.0535772331058979,0.8213499914854765,0.01573997177183628
100,2,0.001,0.4199631195515394,0.23189356736838818,0.22752631269395351,0.22247495129704475,0.1990231852978468,0,0.05048737674951553,0.7299883551895618,0.013035181909799576
100,2,0.001,0.43323518708348274,0.236143346875906,0.23570361360907555,0.23043864779174328,0.19794855825603008,0,0.05172696337103844,0.7513429373502731,0.014322316274046898
100,2,0.001,0.42887229658663273,0.22907349653542042,0.2263678777962923,0.2198402751237154,0.184952387586236,0,0.04869716800749302,0.7235501799732447,0.009029164910316467
100,2,0.001,0.40354118682444096,0.22196202725172043,0.22229604423046112,0.21580926328897476,0.14917785674333572,0,0.04877445474267006,0.6986675895750523,0.010267803445458412
100,2,0.001,0.486515698954463,0.24871445447206497,0.24195806868374348,0.22133014164865017,0.17770855873823166,0,0.04716910980641842,0.769211046397686,0.009338881820440292
100,2,0.001,0.4989040344953537,0.28326292522251606,0.28038468584418297,0.2528880834579468,0.2053682878613472,0,0.052077410742640495,0.8502136413007975,0.012990251183509827
100,2,0.001,0.4251008704304695,0.23526896722614765,0.23225588724017143,0.22468961961567402,0.20102890953421593,0,0.05148029699921608,0.7363097816705704,0.010758727788925171
100,2,0.001,0.3695089239627123,0.20650828815996647,0.20215831138193607,0.20458081737160683,0.20447131618857384,0,0.05138317681849003,0.6246495991945267,0.010332802310585976
100,2,0.001,0.38490751571953297,0.2163794133812189,0.21405740827322006,0.21312065795063972,0.18268496729433537,0,0.04997364431619644,0.656242735683918,0.015536515042185783
100,2,0.001,0.4313876610249281,0.23622951284050941,0.2337030004709959,0.22515509650111198,0.19560445100069046,0,0.05142568238079548,0.7457008641213179,0.009208492934703827
100,2,0.001,0.514008542522788,0.2856432143598795,0.2837916724383831,0.24873808771371841,0.20709609612822533,0,0.05121065489947796,0.8615626953542233,0.011285336688160896
100,2,0.001,0.459613811224699,0.24791108630597591,0.2474488653242588,0.23053749464452267,0.1939152143895626,0,0.049853840842843056,0.7894117701798677,0.01145261526107788
100,2,0.001,0.4130117315798998,0.2265840582549572,0.22537940554320812,0.21805387549102306,0.20201212726533413,0,0.05054569989442825,0.714715663343668,0.01215958222746849
100,2,0.001,0.3874000199139118,0.2166182529181242,0.2120900508016348,0.2141446601599455,0.1919739954173565,0,0.05020209960639477,0.6617863178253174,0.017769992351531982
100,2,0.001,0.34634020179510117,0.19194145128130913,0.18952586315572262,0.1842463966459036,0.17796039208769798,0,0.04795043356716633,0.5882614757865667,0.00903703086078167
100,2,0.001,0.45677237771451473,0.24042151868343353,0.23704622872173786,0.22363214567303658,0.1964405532926321,0,0.048974184319376945,0.7593986485153437,0.00934893824160099
100,2,0.001,0.4274059645831585,0.23310033977031708,0.22796281799674034,0.22473843581974506,0.20105643570423126,0,0.05048098787665367,0.7295460347086191,0.00888185203075409
